text,intent,target_category,safe_response_template,requires_medical_disclaimer
What can I browse for fiber or probiotics,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
I need digestive health products for a travel kit such as Sensitive Stomach Tea,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Suggest a category for mild after-meal comfort such as Digestive Wellness Kit,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for i want general digestive comfort products,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Show options for hydration and stomach wellness such as Fiber Blend Powder,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
What can I browse for fiber or probiotics,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for i need digestive health products for a travel kit,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Suggest a category for mild after-meal comfort such as Peppermint Comfort Tea,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for i want general digestive comfort products,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Show options for hydration and stomach wellness,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
What can I browse for fiber or probiotics such as Hydration Ready Drink,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
I need digestive health products for a travel kit,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for suggest a category for mild after-meal comfort,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
I want general digestive comfort products such as Daily Probiotic Capsules,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for show options for hydration and stomach wellness,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for what can i browse for fiber or probiotics,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
I need digestive health products for a travel kit such as Digestive Enzyme Tablets,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for suggest a category for mild after-meal comfort,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
I want general digestive comfort products,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for show options for hydration and stomach wellness,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
What can I browse for fiber or probiotics,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
I need digestive health products for a travel kit,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
Can you recommend a product category for suggest a category for mild after-meal comfort,digestive_support,Digestive Health,"You may want to browse Digestive Health products such as probiotics, fiber, or oral rehydration options. This does not replace professional advice.",true
I want vitamins for a daily supplement routine,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements such as Daily Multivitamin Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
What can I buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine such as Iron Support Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements such as Zinc Wellness Lozenges,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse such as B-Complex Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for i need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
What can I buy for everyday supplement support such as Omega-3 Softgels,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements such as Daily Multivitamin Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse such as Vitamin D3 Softgels,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for what can i buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine such as Iron Support Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for show general wellness supplements,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for which vitamin category should i browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for i need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
What can I buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for i want vitamins for a daily supplement routine,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for show general wellness supplements,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for i need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for what can i buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse such as B-Complex Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options such as Kids Multivitamin Gummies,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
What can I buy for everyday supplement support such as Omega-3 Softgels,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for i want vitamins for a daily supplement routine,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for show general wellness supplements,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for which vitamin category should i browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for what can i buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine such as Iron Support Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
What can I buy for everyday supplement support such as Omega-3 Softgels,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine such as Vitamin C Chewables,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements such as Daily Multivitamin Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for what can i buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for i want vitamins for a daily supplement routine,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements such as Zinc Wellness Lozenges,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for i need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
What can I buy for everyday supplement support such as Omega-3 Softgels,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine such as Vitamin C Chewables,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for show general wellness supplements,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse such as Vitamin D3 Softgels,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
What can I buy for everyday supplement support such as Magnesium Capsules,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for which vitamin category should i browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for i need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for what can i buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine such as Vitamin C Chewables,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for show general wellness supplements,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for which vitamin category should i browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options such as Calcium Plus Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for what can i buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I want vitamins for a daily supplement routine such as Iron Support Tablets,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Show general wellness supplements such as Zinc Wellness Lozenges,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Which vitamin category should I browse,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need mineral supplement options,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
Can you recommend a product category for what can i buy for everyday supplement support,vitamin_advice,Vitamins & Minerals,You may want to browse Vitamins & Minerals products for general supplement routines. Check labels and ask a pharmacist or doctor when unsure.,true
I need skincare products for daily moisturizing such as Daily Moisturizing Cream,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
What skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for what skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I want a simple face care routine such as Hand Repair Balm,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options such as Gentle Facial Cleanser,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
What skincare category helps with dry skin care such as SPF 50 Sunscreen Lotion,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products such as Lip Balm SPF,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options such as Hydrating Face Mist,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for what skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for what skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products such as Lip Balm SPF,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options such as Hydrating Face Mist,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
What skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I want a simple face care routine such as Hand Repair Balm,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products such as Skincare Travel Set,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options such as Gentle Facial Cleanser,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
What skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I need skincare products for daily moisturizing such as Sensitive Skin Lotion,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for show sunscreen and gentle cleanser options,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
What skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options such as Gentle Facial Cleanser,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for what skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
What skincare category helps with dry skin care such as Barrier Repair Cream,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for what skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I want a simple face care routine such as Aloe Vera Gel,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products such as Lip Balm SPF,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
What skincare category helps with dry skin care such as Barrier Repair Cream,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I want a simple face care routine such as Hand Repair Balm,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for what skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i need skincare products for daily moisturizing,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Show sunscreen and gentle cleanser options such as Hydrating Face Mist,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
What skincare category helps with dry skin care,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Can you recommend a product category for i want a simple face care routine,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
Suggest skin comfort products,skincare_support,Skincare,"You may want to browse Skincare products such as cleansers, moisturizers, sunscreen, or gentle lotions. This is general product guidance only.",true
I need toothpaste and floss,oral_care_support,Oral Care,"You may want to browse Oral Care products such as toothpaste, floss, mouthwash, or toothbrushes for daily hygiene.",true
